Street Address,City,State,ZIP Code,Price,Bedrooms,Bathrooms,Square Footage,Property Type,Image_Path,bedroom_1,bedroom_2,bedroom_3,bedroom_4,bedroom_5,bedroom_6,bathroom_1,bathroom_2,bathroom_3,bathroom_4,bathroom_5,kitchen,living_room,dining,listing_type
7923 South Bascom Ave,San Jose,CA,95132,"1,038,400",5,4,2596,Single Family,property_images/single_family_images/single_family_1.jpg,house_detailed_images/bedroom/bed_98.jpg,house_detailed_images/bedroom/bed_81.jpg,house_detailed_images/bedroom/bed_21.jpg,house_detailed_images/bedroom/bed_75.jpg,house_detailed_images/bedroom/bed_50.jpg,,house_detailed_images/bathroom/bath_485.jpg,house_detailed_images/bathroom/bath_28.jpg,house_detailed_images/bathroom/bath_436.jpg,house_detailed_images/bathroom/bath_170.jpg,,house_detailed_images/kitchen/kitchen_278.jpg,house_detailed_images/livingroom/living_497.jpg,house_detailed_images/dining/dining_99.jpg,For Sale
3917 McLaughlin Ave,San Jose,CA,95158,"718,400",6,4,1796,Apartment,property_images/apartment_images/apartment_1.jpg,house_detailed_images/bedroom/bed_80.jpg,house_detailed_images/bedroom/bed_83.jpg,house_detailed_images/bedroom/bed_64.jpg,house_detailed_images/bedroom/bed_59.jpg,house_detailed_images/bedroom/bed_26.jpg,house_detailed_images/bedroom/bed_65.jpg,house_detailed_images/bathroom/bath_264.jpg,house_detailed_images/bathroom/bath_330.jpg,house_detailed_images/bathroom/bath_221.jpg,house_detailed_images/bathroom/bath_479.jpg,,house_detailed_images/kitchen/kitchen_666.jpg,house_detailed_images/livingroom/living_152.jpg,,For Sale
1426 Quimby Rd,San Jose,CA,95160,"1,404,400",4,4,3511,Apartment,property_images/apartment_images/apartment_2.jpg,house_detailed_images/bedroom/bed_32.jpg,house_detailed_images/bedroom/bed_30.jpg,house_detailed_images/bedroom/bed_25.jpg,house_detailed_images/bedroom/bed_79.jpg,,,house_detailed_images/bathroom/bath_384.jpg,house_detailed_images/bathroom/bath_336.jpg,house_detailed_images/bathroom/bath_34.jpg,house_detailed_images/bathroom/bath_317.jpg,,house_detailed_images/kitchen/kitchen_414.jpg,house_detailed_images/livingroom/living_239.jpg,,For Sale
1849 Jackson Ave,San Jose,CA,95128,"570,800",1,4,1427,Apartment,property_images/apartment_images/apartment_3.jpg,house_detailed_images/bedroom/bed_36.jpg,,,,,,house_detailed_images/bathroom/bath_427.jpg,house_detailed_images/bathroom/bath_489.jpg,house_detailed_images/bathroom/bath_174.jpg,house_detailed_images/bathroom/bath_431.jpg,,house_detailed_images/kitchen/kitchen_433.jpg,house_detailed_images/livingroom/living_472.jpg,,For Sale
5018 Jackson Ave,San Jose,CA,95183,"1,817,600",2,2,4544,Apartment,property_images/apartment_images/apartment_4.jpg,house_detailed_images/bedroom/bed_40.jpg,house_detailed_images/bedroom/bed_93.jpg,,,,,house_detailed_images/bathroom/bath_75.jpg,house_detailed_images/bathroom/bath_491.jpg,,,,house_detailed_images/kitchen/kitchen_714.jpg,house_detailed_images/livingroom/living_482.jpg,,For Sale
2826 Quimby Rd,San Jose,CA,95172,"1,836,400",5,3,4591,Single Family,property_images/single_family_images/single_family_2.jpg,house_detailed_images/bedroom/bed_49.jpg,house_detailed_images/bedroom/bed_13.jpg,house_detailed_images/bedroom/bed_82.jpg,house_detailed_images/bedroom/bed_29.jpg,house_detailed_images/bedroom/bed_51.jpg,,house_detailed_images/bathroom/bath_274.jpg,house_detailed_images/bathroom/bath_193.jpg,house_detailed_images/bathroom/bath_185.jpg,,,house_detailed_images/kitchen/kitchen_513.jpg,house_detailed_images/livingroom/living_344.jpg,house_detailed_images/dining/dining_297.jpg,For Sale
2153 Senter Rd,San Jose,CA,95128,"1,380,800",6,2,3452,Apartment,property_images/apartment_images/apartment_5.jpg,house_detailed_images/bedroom/bed_43.jpg,house_detailed_images/bedroom/bed_22.jpg,house_detailed_images/bedroom/bed_46.jpg,house_detailed_images/bedroom/bed_8.jpg,house_detailed_images/bedroom/bed_39.jpg,house_detailed_images/bedroom/bed_63.jpg,house_detailed_images/bathroom/bath_222.jpg,house_detailed_images/bathroom/bath_108.jpg,,,,house_detailed_images/kitchen/kitchen_100.jpg,house_detailed_images/livingroom/living_309.jpg,,For Sale
3089 El Camino Real,San Jose,CA,95125,"6,508",2,2,4339,Single Family,property_images/single_family_images/single_family_3.jpg,house_detailed_images/bedroom/bed_97.jpg,house_detailed_images/bedroom/bed_95.jpg,,,,,house_detailed_images/bathroom/bath_19.jpg,house_detailed_images/bathroom/bath_375.jpg,,,,house_detailed_images/kitchen/kitchen_520.jpg,house_detailed_images/livingroom/living_64.jpg,house_detailed_images/dining/dining_401.jpg,Rent
1086 Senter Rd,San Jose,CA,95171,"1,227,200",3,4,3068,Single Family,property_images/single_family_images/single_family_4.jpg,house_detailed_images/bedroom/bed_69.jpg,house_detailed_images/bedroom/bed_84.jpg,house_detailed_images/bedroom/bed_3.jpg,,,,house_detailed_images/bathroom/bath_190.jpg,house_detailed_images/bathroom/bath_325.jpg,house_detailed_images/bathroom/bath_111.jpg,house_detailed_images/bathroom/bath_442.jpg,,house_detailed_images/kitchen/kitchen_557.jpg,house_detailed_images/livingroom/living_164.jpg,house_detailed_images/dining/dining_135.jpg,For Sale
1480 Monterey Hwy,San Jose,CA,95174,"334,000",6,2,835,Apartment,property_images/apartment_images/apartment_6.jpg,house_detailed_images/bedroom/bed_61.jpg,house_detailed_images/bedroom/bed_71.jpg,house_detailed_images/bedroom/bed_12.jpg,house_detailed_images/bedroom/bed_55.jpg,house_detailed_images/bedroom/bed_58.jpg,house_detailed_images/bedroom/bed_88.jpg,house_detailed_images/bathroom/bath_416.jpg,house_detailed_images/bathroom/bath_344.jpg,,,,house_detailed_images/kitchen/kitchen_797.jpg,house_detailed_images/livingroom/living_208.jpg,,For Sale
