Street Address,City,State,ZIP Code,Price,Bedrooms,Bathrooms,Square Footage,Property Type,Image_Path
7923 South Bascom Ave,San Jose,CA,95132,2850000,5,4,2596,Single Family,property_images/single_family_images/single_family_1.jpg
3917 McLaughlin Ave,San Jose,CA,95158,1483000,6,4,1796,Apartment,property_images/apartment_images/apartment_1.jpg
1426 Quimby Rd,San Jose,CA,95160,649000,4,4,3511,Apartment,property_images/apartment_images/apartment_2.jpg
1849 Jackson Ave,San Jose,CA,95128,1177000,1,4,1427,Apartment,property_images/apartment_images/apartment_3.jpg
5018 Jackson Ave,San Jose,CA,95183,2136000,2,2,4544,Apartment,property_images/apartment_images/apartment_4.jpg
2826 Quimby Rd,San Jose,CA,95172,1735000,5,3,4591,Single Family,property_images/single_family_images/single_family_2.jpg
2153 Senter Rd,San Jose,CA,95128,2075000,6,2,3452,Apartment,property_images/apartment_images/apartment_5.jpg
3089 El Camino Real,San Jose,CA,95125,2670000,2,2,4339,Single Family,property_images/single_family_images/single_family_3.jpg
1086 Senter Rd,San Jose,CA,95171,1427000,3,4,3068,Single Family,property_images/single_family_images/single_family_4.jpg
1480 Monterey Hwy,San Jose,CA,95174,1143000,6,2,835,Apartment,property_images/apartment_images/apartment_6.jpg
2036 Berryessa Rd,San Jose,CA,95144,1661000,3,3,1749,Single Family,property_images/single_family_images/single_family_5.jpg
4891 Blossom Hill Road,San Jose,CA,95172,1299000,4,1,1720,Single Family,property_images/single_family_images/single_family_6.jpg
4514 Tully Rd,San Jose,CA,95142,1923000,2,2,3848,Apartment,property_images/apartment_images/apartment_7.jpg
8253 Blossom Hill Road,San Jose,CA,95170,1257000,2,4,878,Apartment,property_images/apartment_images/apartment_8.jpg
9573 Tully Rd,San Jose,CA,95115,2190000,2,1,4527,Apartment,property_images/apartment_images/apartment_9.jpg
5679 Senter Rd,San Jose,CA,95136,574000,2,2,2211,Single Family,property_images/single_family_images/single_family_7.jpg
1409 Monterey Hwy,San Jose,CA,95123,1745000,3,3,4415,Apartment,property_images/apartment_images/apartment_10.jpg
9993 Fairway Drive,San Jose,CA,95141,2507000,1,4,3976,Single Family,property_images/single_family_images/single_family_8.jpg
9628 Santa Teresa Blvd,San Jose,CA,95113,2276000,3,4,1193,Apartment,property_images/apartment_images/apartment_11.jpg
3768 Silver Creek Valley Rd,San Jose,CA,95171,2537000,6,2,4595,Single Family,property_images/single_family_images/single_family_9.jpg
4624 King Rd,San Jose,CA,95127,1218000,6,1,2677,Apartment,property_images/apartment_images/apartment_12.jpg
3024 McLaughlin Ave,San Jose,CA,95180,1183000,1,4,4470,Apartment,property_images/apartment_images/apartment_13.jpg
7744 McKee Rd,San Jose,CA,95190,823000,6,1,3206,Apartment,property_images/apartment_images/apartment_14.jpg
5733 Jackson Ave,San Jose,CA,95157,2795000,6,4,1507,Single Family,property_images/single_family_images/single_family_10.jpg
9332 El Camino Real,San Jose,CA,95186,3000000,1,1,3619,Single Family,property_images/single_family_images/single_family_11.jpg
7585 Monterey Hwy,San Jose,CA,95193,697000,2,4,1382,Apartment,property_images/apartment_images/apartment_15.jpg
4526 Tully Rd,San Jose,CA,95138,1999000,4,1,2814,Single Family,property_images/single_family_images/single_family_12.jpg
6196 Jackson Ave,San Jose,CA,95198,590000,1,2,1615,Apartment,property_images/apartment_images/apartment_16.jpg
1303 Piedmont Rd,San Jose,CA,95185,558000,3,1,3212,Apartment,property_images/apartment_images/apartment_17.jpg
5449 Almaden Rd,San Jose,CA,95142,2276000,5,3,1921,Apartment,property_images/apartment_images/apartment_18.jpg
4666 El Camino Real,San Jose,CA,95132,2215000,1,1,2781,Single Family,property_images/single_family_images/single_family_13.jpg
3011 Lelong St,San Jose,CA,95122,2431000,4,3,3886,Apartment,property_images/apartment_images/apartment_19.jpg
9387 Berryessa Rd,San Jose,CA,95180,2035000,2,4,3387,Apartment,property_images/apartment_images/apartment_20.jpg
3394 Jackson Ave,San Jose,CA,95116,1538000,1,2,1530,Single Family,property_images/single_family_images/single_family_14.jpg
5766 El Camino Real,San Jose,CA,95137,2851000,3,1,4599,Apartment,property_images/apartment_images/apartment_21.jpg
3636 McKee Rd,San Jose,CA,95152,1425000,3,1,4666,Apartment,property_images/apartment_images/apartment_22.jpg
2228 Mabury Rd,San Jose,CA,95175,2083000,1,3,2426,Single Family,property_images/single_family_images/single_family_15.jpg
2992 Brophy Ct,San Jose,CA,95144,2333000,4,3,2774,Single Family,property_images/single_family_images/single_family_16.jpg
5912 King Rd,San Jose,CA,95153,1772000,6,4,4734,Apartment,property_images/apartment_images/apartment_23.jpg
4887 Quimby Rd,San Jose,CA,95113,1967000,5,4,4042,Apartment,property_images/apartment_images/apartment_24.jpg
5782 Tully Rd,San Jose,CA,95146,2536000,2,3,2699,Single Family,property_images/single_family_images/single_family_17.jpg
8601 Blossom Hill Road,San Jose,CA,95113,1652000,5,4,4394,Single Family,property_images/single_family_images/single_family_18.jpg
1902 Fairway Drive,San Jose,CA,95194,1870000,2,1,4392,Apartment,property_images/apartment_images/apartment_25.jpg
2416 Tully Rd,San Jose,CA,95164,640000,6,3,2546,Apartment,property_images/apartment_images/apartment_26.jpg
4521 King Rd,San Jose,CA,95184,1772000,1,2,4116,Single Family,property_images/single_family_images/single_family_19.jpg
2080 Mabury Rd,San Jose,CA,95180,605000,4,3,820,Single Family,property_images/single_family_images/single_family_20.jpg
9866 South Bascom Ave,San Jose,CA,95197,1179000,2,4,2344,Single Family,property_images/single_family_images/single_family_21.jpg
2809 Tully Rd,San Jose,CA,95171,2624000,1,2,4050,Apartment,property_images/apartment_images/apartment_27.jpg
6026 Tully Rd,San Jose,CA,95137,1428000,3,2,3263,Apartment,property_images/apartment_images/apartment_28.jpg
7883 Pomeroy Ave,San Jose,CA,95117,914000,3,4,1122,Single Family,property_images/single_family_images/single_family_22.jpg
9301 South Bascom Ave,San Jose,CA,95141,959000,3,2,3790,Apartment,property_images/apartment_images/apartment_29.jpg
2961 Brophy Ct,San Jose,CA,95116,2529000,3,4,1910,Single Family,property_images/single_family_images/single_family_23.jpg
2090 Pomeroy Ave,San Jose,CA,95173,2237000,1,4,1668,Single Family,property_images/single_family_images/single_family_24.jpg
5710 Quimby Rd,San Jose,CA,95112,2509000,1,3,3275,Apartment,property_images/apartment_images/apartment_30.jpg
7610 Monterey Hwy,San Jose,CA,95170,2270000,2,2,1360,Apartment,property_images/apartment_images/apartment_31.jpg
6156 Muirwood Dr,San Jose,CA,95142,1634000,5,2,4205,Apartment,property_images/apartment_images/apartment_32.jpg
8173 Berryessa Rd,San Jose,CA,95142,989000,1,4,4314,Single Family,property_images/single_family_images/single_family_25.jpg
8606 King Rd,San Jose,CA,95120,2615000,6,3,1382,Single Family,property_images/single_family_images/single_family_26.jpg
1804 Lelong St,San Jose,CA,95125,2946000,5,3,3368,Single Family,property_images/single_family_images/single_family_27.jpg
5575 El Camino Real,San Jose,CA,95119,2574000,5,2,2904,Single Family,property_images/single_family_images/single_family_28.jpg
6485 McKee Rd,San Jose,CA,95116,1990000,6,2,4047,Single Family,property_images/single_family_images/single_family_29.jpg
4609 Santa Teresa Blvd,San Jose,CA,95156,1725000,1,1,4939,Apartment,property_images/apartment_images/apartment_33.jpg
3437 Monterey Hwy,San Jose,CA,95147,794000,2,4,3775,Single Family,property_images/single_family_images/single_family_30.jpg
9713 Jackson Ave,San Jose,CA,95146,2018000,1,4,837,Apartment,property_images/apartment_images/apartment_34.jpg
8866 Silver Creek Valley Rd,San Jose,CA,95192,557000,5,3,4216,Apartment,property_images/apartment_images/apartment_35.jpg
4647 Santa Teresa Blvd,San Jose,CA,95172,1083000,5,4,2233,Apartment,property_images/apartment_images/apartment_36.jpg
2705 Brophy Ct,San Jose,CA,95112,2902000,5,4,3914,Apartment,property_images/apartment_images/apartment_37.jpg
5845 McKee Rd,San Jose,CA,95140,1105000,4,2,3400,Single Family,property_images/single_family_images/single_family_31.jpg
8533 Fairway Drive,San Jose,CA,95198,1165000,1,2,2160,Single Family,property_images/single_family_images/single_family_32.jpg
6230 Jackson Ave,San Jose,CA,95197,817000,5,3,2209,Single Family,property_images/single_family_images/single_family_33.jpg
2596 Almaden Rd,San Jose,CA,95198,2311000,4,1,2775,Apartment,property_images/apartment_images/apartment_38.jpg
3188 Fairway Drive,San Jose,CA,95187,735000,1,3,810,Single Family,property_images/single_family_images/single_family_34.jpg
2990 Santa Teresa Blvd,San Jose,CA,95176,1841000,1,1,956,Apartment,property_images/apartment_images/apartment_39.jpg
9514 Jackson Ave,San Jose,CA,95175,2996000,4,1,1973,Apartment,property_images/apartment_images/apartment_40.jpg
4458 Jackson Ave,San Jose,CA,95110,1861000,4,3,2220,Apartment,property_images/apartment_images/apartment_41.jpg
9269 Piedmont Rd,San Jose,CA,95157,2724000,4,4,2131,Apartment,property_images/apartment_images/apartment_42.jpg
9462 Monterey Hwy,San Jose,CA,95186,1346000,2,4,3109,Single Family,property_images/single_family_images/single_family_35.jpg
9571 McKee Rd,San Jose,CA,95185,2342000,3,1,3666,Apartment,property_images/apartment_images/apartment_43.jpg
5720 Tully Rd,San Jose,CA,95197,2017000,2,3,1209,Apartment,property_images/apartment_images/apartment_44.jpg
1398 Piedmont Rd,San Jose,CA,95151,2846000,1,1,822,Apartment,property_images/apartment_images/apartment_45.jpg
8009 Berryessa Rd,San Jose,CA,95198,1453000,3,3,4945,Single Family,property_images/single_family_images/single_family_36.jpg
7071 Blossom Hill Road,San Jose,CA,95179,1143000,3,3,3279,Apartment,property_images/apartment_images/apartment_46.jpg
6303 Muirwood Dr,San Jose,CA,95178,2774000,6,4,1960,Single Family,property_images/single_family_images/single_family_37.jpg
9720 Mabury Rd,San Jose,CA,95113,1134000,3,2,4649,Apartment,property_images/apartment_images/apartment_47.jpg
7391 Muirwood Dr,San Jose,CA,95149,2871000,3,3,3960,Apartment,property_images/apartment_images/apartment_48.jpg
7927 Pomeroy Ave,San Jose,CA,95141,1086000,1,1,3853,Single Family,property_images/single_family_images/single_family_38.jpg
6595 Berryessa Rd,San Jose,CA,95157,1563000,6,4,4228,Apartment,property_images/apartment_images/apartment_49.jpg
9271 Piedmont Rd,San Jose,CA,95186,599000,1,3,4114,Single Family,property_images/single_family_images/single_family_39.jpg
4303 El Camino Real,San Jose,CA,95175,2754000,6,3,4507,Single Family,property_images/single_family_images/single_family_40.jpg
1456 McLaughlin Ave,San Jose,CA,95183,2859000,5,4,2329,Single Family,property_images/single_family_images/single_family_41.jpg
5800 El Camino Real,San Jose,CA,95125,803000,5,3,1465,Apartment,property_images/apartment_images/apartment_50.jpg
1190 Piedmont Rd,San Jose,CA,95127,2883000,2,3,4321,Apartment,property_images/apartment_images/apartment_51.jpg
5242 El Camino Real,San Jose,CA,95190,2104000,2,3,1601,Apartment,property_images/apartment_images/apartment_52.jpg
4495 Jackson Ave,San Jose,CA,95120,2633000,3,1,2667,Single Family,property_images/single_family_images/single_family_42.jpg
4667 McKee Rd,San Jose,CA,95153,1372000,4,2,3493,Apartment,property_images/apartment_images/apartment_53.jpg
3807 Senter Rd,San Jose,CA,95157,561000,2,2,4432,Single Family,property_images/single_family_images/single_family_43.jpg
8323 Piedmont Rd,San Jose,CA,95167,724000,5,3,1775,Apartment,property_images/apartment_images/apartment_54.jpg
9586 Fairway Drive,San Jose,CA,95113,2846000,5,3,1601,Single Family,property_images/single_family_images/single_family_44.jpg
2198 El Camino Real,San Jose,CA,95144,2233000,6,3,1064,Apartment,property_images/apartment_images/apartment_55.jpg
4114 Brophy Ct,San Jose,CA,95193,2574000,3,2,1345,Single Family,property_images/single_family_images/single_family_45.jpg
9668 Mabury Rd,San Jose,CA,95187,2405000,3,3,2957,Single Family,property_images/single_family_images/single_family_46.jpg
6798 McLaughlin Ave,San Jose,CA,95196,1215000,1,1,2179,Apartment,property_images/apartment_images/apartment_56.jpg
1335 Lelong St,San Jose,CA,95197,581000,2,2,2727,Single Family,property_images/single_family_images/single_family_47.jpg
3071 Monterey Hwy,San Jose,CA,95182,2783000,2,3,2014,Single Family,property_images/single_family_images/single_family_48.jpg
6571 Pomeroy Ave,San Jose,CA,95139,1297000,6,3,3643,Single Family,property_images/single_family_images/single_family_49.jpg
9920 Blossom Hill Road,San Jose,CA,95111,2211000,3,3,3934,Apartment,property_images/apartment_images/apartment_57.jpg
5088 Lelong St,San Jose,CA,95189,2847000,2,4,2625,Apartment,property_images/apartment_images/apartment_58.jpg
2300 South Bascom Ave,San Jose,CA,95186,1654000,4,1,1486,Apartment,property_images/apartment_images/apartment_59.jpg
4392 Silver Creek Valley Rd,San Jose,CA,95186,1135000,1,4,2624,Apartment,property_images/apartment_images/apartment_60.jpg
3978 Mabury Rd,San Jose,CA,95166,2124000,2,2,1912,Single Family,property_images/single_family_images/single_family_50.jpg
7664 El Camino Real,San Jose,CA,95140,1387000,1,1,1296,Single Family,property_images/single_family_images/single_family_51.jpg
7407 Mabury Rd,San Jose,CA,95111,1880000,4,1,1066,Single Family,property_images/single_family_images/single_family_52.jpg
5293 King Rd,San Jose,CA,95178,563000,5,2,1761,Apartment,property_images/apartment_images/apartment_61.jpg
7955 South Bascom Ave,San Jose,CA,95154,2133000,3,3,3926,Apartment,property_images/apartment_images/apartment_62.jpg
3296 Senter Rd,San Jose,CA,95139,2431000,5,2,2365,Apartment,property_images/apartment_images/apartment_63.jpg
6515 Senter Rd,San Jose,CA,95171,2323000,2,2,1487,Apartment,property_images/apartment_images/apartment_64.jpg
3697 Senter Rd,San Jose,CA,95172,1024000,4,2,2899,Single Family,property_images/single_family_images/single_family_53.jpg
3445 Lelong St,San Jose,CA,95126,533000,4,1,1621,Single Family,property_images/single_family_images/single_family_54.jpg
6474 Quimby Rd,San Jose,CA,95184,1321000,6,3,1457,Apartment,property_images/apartment_images/apartment_65.jpg
4849 Jackson Ave,San Jose,CA,95142,2910000,1,4,2103,Single Family,property_images/single_family_images/single_family_55.jpg
2989 Almaden Rd,San Jose,CA,95143,1223000,5,3,3455,Single Family,property_images/single_family_images/single_family_56.jpg
3919 Jackson Ave,San Jose,CA,95198,1828000,3,3,2375,Apartment,property_images/apartment_images/apartment_66.jpg
7981 Berryessa Rd,San Jose,CA,95165,2694000,1,2,1802,Apartment,property_images/apartment_images/apartment_67.jpg
8453 Senter Rd,San Jose,CA,95157,971000,5,1,2629,Single Family,property_images/single_family_images/single_family_57.jpg
7712 Blossom Hill Road,San Jose,CA,95152,969000,1,1,2087,Single Family,property_images/single_family_images/single_family_58.jpg
1699 Silver Creek Valley Rd,San Jose,CA,95168,2216000,6,4,3657,Apartment,property_images/apartment_images/apartment_68.jpg
9646 King Rd,San Jose,CA,95138,1943000,3,1,3051,Single Family,property_images/single_family_images/single_family_59.jpg
