Street Address,City,State,ZIP Code,Price,Bedrooms,Bathrooms,Square Footage,Property Type,Image_Path
4311 Main St,San Jose,CA,95132,2850000,5,4,2596,Single Family,property_images/single_family_images/single_family_1.jpg
7446 Main St,San Jose,CA,95158,1483000,6,4,1796,Apartment,property_images/apartment_images/apartment_1.jpg
2515 Main St,San Jose,CA,95160,649000,4,4,3511,Apartment,property_images/apartment_images/apartment_2.jpg
6960 Main St,San Jose,CA,95128,1177000,1,4,1427,Apartment,property_images/apartment_images/apartment_3.jpg
3687 Main St,San Jose,CA,95183,2136000,2,2,4544,Apartment,property_images/apartment_images/apartment_4.jpg
4219 Main St,San Jose,CA,95172,1735000,5,3,4591,Single Family,property_images/single_family_images/single_family_2.jpg
7641 Main St,San Jose,CA,95128,2075000,6,2,3452,Apartment,property_images/apartment_images/apartment_5.jpg
599 Main St,San Jose,CA,95125,2670000,2,2,4339,Single Family,property_images/single_family_images/single_family_3.jpg
3134 Main St,San Jose,CA,95171,1427000,3,4,3068,Single Family,property_images/single_family_images/single_family_4.jpg
7649 Main St,San Jose,CA,95174,1143000,6,2,835,Apartment,property_images/apartment_images/apartment_6.jpg
8400 Main St,San Jose,CA,95144,1661000,3,3,1749,Single Family,property_images/single_family_images/single_family_5.jpg
8533 Main St,San Jose,CA,95172,1299000,4,1,1720,Single Family,property_images/single_family_images/single_family_6.jpg
7480 Main St,San Jose,CA,95142,1923000,2,2,3848,Apartment,property_images/apartment_images/apartment_7.jpg
1565 Main St,San Jose,CA,95170,1257000,2,4,878,Apartment,property_images/apartment_images/apartment_8.jpg
7108 Main St,San Jose,CA,95115,2190000,2,1,4527,Apartment,property_images/apartment_images/apartment_9.jpg
374 Main St,San Jose,CA,95136,574000,2,2,2211,Single Family,property_images/single_family_images/single_family_7.jpg
7459 Main St,San Jose,CA,95123,1745000,3,3,4415,Apartment,property_images/apartment_images/apartment_10.jpg
4173 Main St,San Jose,CA,95141,2507000,1,4,3976,Single Family,property_images/single_family_images/single_family_8.jpg
2889 Main St,San Jose,CA,95113,2276000,3,4,1193,Apartment,property_images/apartment_images/apartment_11.jpg
9496 Main St,San Jose,CA,95171,2537000,6,2,4595,Single Family,property_images/single_family_images/single_family_9.jpg
2687 Main St,San Jose,CA,95127,1218000,6,1,2677,Apartment,property_images/apartment_images/apartment_12.jpg
2074 Main St,San Jose,CA,95180,1183000,1,4,4470,Apartment,property_images/apartment_images/apartment_13.jpg
6781 Main St,San Jose,CA,95190,823000,6,1,3206,Apartment,property_images/apartment_images/apartment_14.jpg
2077 Main St,San Jose,CA,95157,2795000,6,4,1507,Single Family,property_images/single_family_images/single_family_10.jpg
2843 Main St,San Jose,CA,95186,3000000,1,1,3619,Single Family,property_images/single_family_images/single_family_11.jpg
9308 Main St,San Jose,CA,95193,697000,2,4,1382,Apartment,property_images/apartment_images/apartment_15.jpg
7960 Main St,San Jose,CA,95138,1999000,4,1,2814,Single Family,property_images/single_family_images/single_family_12.jpg
3439 Main St,San Jose,CA,95198,590000,1,2,1615,Apartment,property_images/apartment_images/apartment_16.jpg
5614 Main St,San Jose,CA,95185,558000,3,1,3212,Apartment,property_images/apartment_images/apartment_17.jpg
1360 Main St,San Jose,CA,95142,2276000,5,3,1921,Apartment,property_images/apartment_images/apartment_18.jpg
2112 Main St,San Jose,CA,95132,2215000,1,1,2781,Single Family,property_images/single_family_images/single_family_13.jpg
467 Main St,San Jose,CA,95122,2431000,4,3,3886,Apartment,property_images/apartment_images/apartment_19.jpg
1056 Main St,San Jose,CA,95180,2035000,2,4,3387,Apartment,property_images/apartment_images/apartment_20.jpg
429 Main St,San Jose,CA,95116,1538000,1,2,1530,Single Family,property_images/single_family_images/single_family_14.jpg
4529 Main St,San Jose,CA,95137,2851000,3,1,4599,Apartment,property_images/apartment_images/apartment_21.jpg
6568 Main St,San Jose,CA,95152,1425000,3,1,4666,Apartment,property_images/apartment_images/apartment_22.jpg
2454 Main St,San Jose,CA,95175,2083000,1,3,2426,Single Family,property_images/single_family_images/single_family_15.jpg
